"","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"568",1998-12-18,"The Prince of Egypt",60000000,101413188,218613188,"Dreamworks SKG","PG","Adventure"
"569",2004-08-06,"Collateral",60000000,100170152,217670152,"Dreamworks SKG","R","Action"
"570",2001-07-04,"Cats & Dogs",60000000,93375151,200700000,"Warner Bros","PG","Comedy"
"571",1998-10-02,"Antz",60000000,90757863,152457863,"Dreamworks SKG","PG","Adventure"
"572",2002-04-19,"The Scorpion King",60000000,90580000,165890634,"Universal","PG-13","Action"
"573",2010-10-15,"Red",60000000,90380162,196439693,"Summit Entertainment","PG-13","Action"
"574",2004-03-05,"Starsky & Hutch",60000000,88200225,170200225,"Warner Bros","PG-13","Comedy"
"575",1990-06-27,"Days of Thunder",60000000,82670733,157670733,"Paramount Pictures","PG-13","Action"
"576",2005-12-21,"Cheaper by the Dozen 2",60000000,82571173,135015330,"20th Century Fox","PG","Adventure"
"577",2010-08-13,"Eat Pray Love",60000000,80574010,206598789,"Sony Pictures","PG-13","Drama"
"578",2012-12-21,"Jack Reacher",60000000,80070736,217370736,"Paramount Pictures","PG-13","Drama"
"579",2000-12-22,"The Family Man",60000000,75764085,124715863,"Universal","PG-13","Comedy"
"580",1999-12-22,"Any Given Sunday",60000000,75530832,100230832,"Warner Bros","R","Drama"
"581",1998-05-15,"The Horse Whisperer",60000000,75383563,186883563,"Walt Disney","PG-13","Drama"
"582",2009-02-06,"Coraline",60000000,75286229,126037057,"Focus Features","PG","Adventure"
"583",2004-10-01,"Ladder 49",60000000,74541707,102332848,"Walt Disney","PG-13","Action"
"584",1999-07-28,"Deep Blue Sea",60000000,73648228,165048228,"Warner Bros","R","Action"
"585",2003-01-17,"Kangaroo Jack",60000000,66723216,90723216,"Warner Bros","PG","Adventure"
"586",2016-03-04,"London Has Fallen",60000000,62524260,194094168,"Focus Features","R","Action"
"587",2006-03-10,"The Shaggy Dog",60000000,61123569,87123569,"Walt Disney","PG","Comedy"
"588",1996-11-22,"Jingle All the Way",60000000,60592389,129832389,"20th Century Fox","PG","Adventure"
"589",2004-04-02,"Hellboy",60000000,59623958,99823958,"Sony Pictures","PG-13","Action"
"590",2016-10-21,"Jack Reacher: Never Go Back",60000000,58697076,160038407,"Paramount Pictures","PG-13","Action"
"591",2017-05-25,"Baywatch",60000000,58060186,176023296,"Paramount Pictures","R","Comedy"
"592",1998-12-25,"A Civil Action",60000000,56709981,56709981,"Walt Disney","PG-13","Drama"
"593",2015-12-25,"Joy",60000000,56451232,101134059,"20th Century Fox","PG-13","Drama"
"594",2012-08-17,"ParaNorman",60000000,56003051,108119662,"Focus Features","PG","Adventure"
"595",1996-03-01,"Up Close & Personal",60000000,51045801,100645801,"Walt Disney","PG-13","Drama"
"596",2008-12-19,"The Tale of Despereaux",60000000,50877145,90482317,"Universal","G","Adventure"
"597",2014-09-26,"The Boxtrolls",60000000,50837305,111946251,"Focus Features","PG","Adventure"
"598",2002-09-27,"The Tuxedo",60000000,50586000,104429625,"Dreamworks SKG","PG-13","Action"
"599",2014-01-17,"Jack Ryan: Shadow Recruit",60000000,50577412,131377412,"Paramount Pictures","PG-13","Action"
"600",1995-07-14,"Under Siege 2: Dark Territory",60000000,50024083,104324083,"Warner Bros","R","Action"
"601",1997-11-26,"Alien: Resurrection",60000000,47795018,160700000,"20th Century Fox","R","Action"
"602",1998-10-16,"Practical Magic",60000000,46850558,68336997,"Warner Bros","PG-13","Comedy"
"603",2013-01-11,"Gangster Squad",60000000,46000903,104100903,"Warner Bros","R","Drama"
"604",2017-04-07,"Smurfs: The Lost Village",60000000,45020282,197422438,"Sony Pictures","PG","Adventure"
"605",2009-06-19,"Year One",60000000,43337279,57604723,"Sony Pictures","PG-13","Comedy"
